name,char_wiki_link,extra_wiki_link
Nana Sophie Mussolini,Nana_Sophie_Mussolini,Nana
Annika Van Houten,Annika_Van_Houten,Annika
Norbert Van Houten,Norbert_Van_Houten,Norbert
Angelica,Angelica,Angelica
Judge Muntz,Judge_Muntz,Judge
Chuck Muntz,Chuck_Muntz,Chuck
Reilly Muntz,Reilly_Muntz,Reilly
"Nelson Muntz, Jr.","Nelson_Muntz,_Jr.",Nelson
Iggy Wiggum,Iggy_Wiggum,Iggy
Wesley Wiggum,Wesley_Wiggum,Wesley
Fred Kanneke,Fred_Kanneke,Fred
Neil Terwilliger,Neil_Terwilliger,Neil
Robert Terwilliger Sr.,Robert_Terwilliger_Sr.,Robert
Dame Judith Terwilliger,Dame_Judith_Terwilliger,Dame
Addem-up Spuckler,Addem-up_Spuckler,Addem-up
Barrow Spuckler,Barrow_Spuckler,Barrow
Birthday Spuckler,Birthday_Spuckler,Birthday
Brittany Spuckler,Brittany_Spuckler,Brittany
Cassidy Spuckler,Cassidy_Spuckler,Cassidy
Cody Spuckler,Cody_Spuckler,Cody
Crystal Meth Spuckler,Crystal_Meth_Spuckler,Crystal
Dermott Spuckler,Dermott_Spuckler,Dermott
Dia-Betty,Dia-Betty,Dia-Betty
Dubya Spuckler,Dubya_Spuckler,Dubya
Dylan Spuckler,Dylan_Spuckler,Dylan
Embry Joe Spuckler,Embry_Joe_Spuckler,Embry
Fontanelle Spuckler,Fontanelle_Spuckler,Fontanelle
Geech,Geech,Geech
Gitmo Spuckler,Gitmo_Spuckler,Gitmo
Gummy Sue Spuckler,Gummy_Sue_Spuckler,Gummy
Heather Spuckler,Heather_Spuckler,Heather
Hungry Spuckler Baby,Hungry_Spuckler_Baby,Hungry
Incest Spuckler,Incest_Spuckler,Incest
International Harvester Spuckler,International_Harvester_Spuckler,International
Jitney Spuckler,Jitney_Spuckler,Jitney
Jordan Spuckler,Jordan_Spuckler,Jordan
Maw Spuckler,Maw_Spuckler,Maw
Max Spuckler,Max_Spuckler,Max
Melvis Spuckler,Melvis_Spuckler,Melvis
Merl,Merl,Merl
Minimum Wade Spuckler,Minimum_Wade_Spuckler,Minimum
Normal Head Joe Spuckler,Normal_Head_Joe_Spuckler,Normal
Oxycontin Spuckler,Oxycontin_Spuckler,Oxycontin
Pediculus Spuckler,Pediculus_Spuckler,Pediculus
Pete Spuckler,Pete_Spuckler,Pete
Q-Bert Spuckler,Q-Bert_Spuckler,Q-Bert
Rest Stop Spuckler,Rest_Stop_Spuckler,Rest
Rubella Scabies Spuckler,Rubella_Scabies_Spuckler,Rubella
Rumor Spuckler,Rumor_Spuckler,Rumor
Scout Spuckler,Scout_Spuckler,Scout
Something New Spuckler Baby,%22Something_New%22_Spuckler_Baby,%22Something
Taylor Spuckler,Taylor_Spuckler,Taylor
Three Unnamed Spuckler Babies,Three_Unnamed_Spuckler_Babies,Three
Tiffany Spuckler,Tiffany_Spuckler,Tiffany
Tripod Spuckler,Tripod_Spuckler,Tripod
Unborn Spuckler Baby,Unborn_Spuckler_Baby,Unborn
Unnamed Spuckler Baby,Unnamed_Spuckler_Baby,Unnamed
Wesley Spuckler,Wesley_Spuckler,Wesley
Wheel Spuckler,Wheel_Spuckler,Wheel
Whitney Spuckler,Whitney_Spuckler,Whitney
Zoe Spuckler,Zoe_Spuckler,Zoe
Erik,Erik,Erik
Langdon Alger,Langdon_Alger,Langdon
Arthur (Student),Arthur_(Student),Arthur
Ashley,Ashley,Ashley
Becky (Student),Becky_(Student),Becky
Adrian Belew,Adrian_Belew,Adrian
Bashir bin Laden,Bashir_bin_Laden,Bashir
Blow the Horn Kid,%22Blow_the_Horn%22_Kid,%22Blow
Bodhi,Bodhi,Bodhi
Lucas Bortner,Lucas_Bortner,Lucas
Jake Boyman,Jake_Boyman,Jake
Report Card,Report_Card,Report
Celeste,Celeste,Celeste
Cosine Tangent,Cosine_Tangent,Cosine
Coward,Coward,Coward
Michael D'Amico,Michael_D%27Amico,Michael
Jack Deforest,Jack_Deforest,Jack
Ross,Ross,Ross
Diggs,Diggs,Diggs
Donna,Donna,Donna
Donny (The Debarted),Donny_(The_Debarted),Donny
E-mail,E-mail,E-mail
Gus Huebner,Gus_Huebner,Gus
Female Twin,Female_Twin,Female
Singaporean Girl,Singaporean_Girl,Singaporean
Ham,Ham,Ham
Howard,Howard,Howard
Isabel Gutierrez,Isabel_Gutierrez,Isabel
Jaffee,Jaffee,Jaffee
Jamie,Jamie,Jamie
Jenny,Jenny,Jenny
Jimbo Junior,Jimbo_Junior,Jimbo
Juliet Hobbes,Juliet_Hobbes,Juliet
Kevin (Stealing First Base),Kevin_(Stealing_First_Base),Kevin
Kyle LaBianco,Kyle_LaBianco,Kyle
Male Twin,Male_Twin,Male
Nikki McKenna,Nikki_McKenna,Nikki
Nina Skalka,Nina_Skalka,Nina
Melody Juniper,Melody_Juniper,Melody
Freddy,Freddy,Freddy
Kyle (3rd Grader),Kyle_(3rd_Grader),Kyle
My Ding-a-Ling Kid,My_Ding-a-Ling_Kid,My
Noah (Father Knows Worst),Noah_(Father_Knows_Worst),Noah
Prune Juice Nerd,Prune_Juice_Nerd,Prune
Sailor Kid,Sailor_Kid,Sailor
Sara (Student),Sara_(Student),Sara
Sophie Jensen,Sophie_Jensen,Sophie
Smug Girl,Smug_Girl,Smug
Samantha Stankey,Samantha_Stankey,Samantha
Taffy,Taffy,Taffy
Tanya,Tanya,Tanya
Tommy,Tommy,Tommy
Tumi,Tumi,Tumi
Wanda,Wanda,Wanda
Warren (Camper),Warren_(Camper),Warren
White Kid,White_Kid,White
White-Haired Girl,White-Haired_Girl,White-Haired
Annie (Ant),Annie_(Ant),Annie
Barking Dog,Barking_Dog,Barking
Rosa Barks,Rosa_Barks,Rosa
Blinky,Blinky,Blinky
Bluella,Bluella,Bluella
Bobo (Dog),Bobo_(Dog),Bobo
Bolivian Tree Lizard,Bolivian_Tree_Lizard,Bolivian
Butterfly,Butterfly,Butterfly
Canary M. Burns,Canary_M._Burns,Canary
Captain Jack,Captain_Jack,Captain
Chew My Shoe,Chew_My_Shoe,Chew
Chez Paree Lobsters,Chez_Paree_Lobsters,Chez
Coltrane,Coltrane,Coltrane
Cute Lamb,Cute_Lamb,Cute
Dog O' War,Dog_O%27_War,Dog
Duff McShark,Duff_McShark,Duff
Duncan,Duncan,Duncan
Esquilax,Esquilax,Esquilax
Feral Things,Feral_Things,Feral
Fido,Fido,Fido
Fluffy,Fluffy,Fluffy
Freedom,Freedom,Freedom
Gary the Unicorn,Gary_the_Unicorn,Gary
Kissing Fish,Kissing_Fish,Kissing
General Sherman,General_Sherman,General
Furious George,Furious_George,Furious
Giuseppe,Giuseppe,Giuseppe
Gorilla the Conqueror,Gorilla_the_Conqueror,Gorilla
Greyhound Puppies,Greyhound_Puppies,Greyhound
Guard Dog,Guard_Dog,Guard
Hercules,Hercules,Hercules
Jub-Jub,Jub-Jub,Jub-Jub
Loch Ness Monster,Loch_Ness_Monster,Loch
Lumpy,Lumpy,Lumpy
Mojo the Helper Monkey,Mojo_the_Helper_Monkey,Mojo
Pigeon-Rat,Pigeon-Rat,Pigeon-Rat
Pokey,Pokey,Pokey
Rover Hendrix,Rover_Hendrix,Rover
Screamapillar,Screamapillar,Screamapillar
Simpson Fish,Simpson_Fish,Simpson
Snorky,Snorky,Snorky
Snowball II,Snowball_II,Snowball
Snowball V,Snowball_V,Snowball
Stampy,Stampy,Stampy
Stingy,Stingy,Stingy
Strangles,Strangles,Strangles
Talking Dog,Talking_Dog,Talking
Taquito,Taquito,Taquito
Gay Colonel,Gay_Colonel,Gay
Mathemagician,Mathemagician,Mathemagician
